Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2020,October,ALL India,,,Housing,,158.0,158.0,F
2020,November,ALL India,,,Housing,,158.4,158.4,F
2020,December,ALL India,,,Housing,,157.7,157.7,F
2021,January,ALL India,,,Housing,,158.9,158.9,F
2021,February,ALL India,,,Housing,,159.8,159.8,F
2021,March,ALL India,,,Housing,,159.9,159.9,F
2021,April,ALL India,,,Housing,,161.4,161.4,F
2021,May,ALL India,,,Housing,,161.6,161.6,F
2021,June,ALL India,,,Housing,,160.5,160.5,F
2021,July,ALL India,,,Housing,,161.5,161.5,F
2021,August,ALL India,,,Housing,,162.4,162.4,F
2021,September,ALL India,,,Housing,,162.1,162.1,F
2021,October,ALL India,,,Housing,,163.6,163.6,F
2021,November,ALL India,,,Housing,,164.2,164.2,F
2021,December,ALL India,,,Housing,,163.4,163.4,F
2022,January,ALL India,,,Housing,,164.5,164.5,F
2022,February,ALL India,,,Housing,,165.5,165.5,F
2022,March,ALL India,,,Housing,,165.3,165.3,F
2022,April,ALL India,,,Housing,,167.0,167.0,F
2022,May,ALL India,,,Housing,,167.5,167.5,F
2022,June,ALL India,,,Housing,,166.8,166.8,F
2022,July,ALL India,,,Housing,,167.8,167.8,F
2022,August,ALL India,,,Housing,,169.0,169.0,F
2022,September,ALL India,,,Housing,,169.5,169.5,F
2022,October,ALL India,,,Housing,,171.2,171.2,F
2022,November,ALL India,,,Housing,,171.8,171.8,F
2022,December,ALL India,,,Housing,,170.7,170.7,F
2023,January,ALL India,,,Housing,,172.1,172.1,F
2023,February,ALL India,,,Housing,,173.5,173.5,F
2023,March,ALL India,,,Housing,,173.5,173.5,F
2023,April,ALL India,,,Housing,,175.2,175.2,F
2023,May,ALL India,,,Housing,,175.6,175.6,F
2023,June,ALL India,,,Housing,,174.4,174.4,F
2023,July,ALL India,,,Housing,,175.3,175.3,F
2023,August,ALL India,,,Housing,,176.4,176.4,F
2023,September,ALL India,,,Housing,,176.2,176.2,F
2023,October,ALL India,,,Housing,,177.7,177.7,F
2023,November,ALL India,,,Housing,,177.9,177.9,F
2023,December,ALL India,,,Housing,,176.9,176.9,F
2024,January,ALL India,,,Housing,,177.6,177.6,F
2024,February,ALL India,,,Housing,,178.5,178.5,F
2024,March,ALL India,,,Housing,,178.2,178.2,F
2024,April,ALL India,,,Housing,,179.9,179.9,F
2024,May,ALL India,,,Housing,,180.1,180.1,F
2024,June,ALL India,,,Housing,,179.1,179.1,F
2024,July,ALL India,,,Housing,,180.0,180.0,F
2024,August,ALL India,,,Housing,,181.1,181.1,F
2024,September,ALL India,,,Housing,,181.0,181.0,F
2024,October,ALL India,,,Housing,,182.7,182.7,F
2024,November,ALL India,,,Housing,,183.0,183.0,F
2024,December,ALL India,,,Housing,,181.7,181.7,F
2025,January,ALL India,,,Housing,,182.6,182.6,F
2025,February,ALL India,,,Housing,,183.7,183.7,P
