Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2013,January,ALL India,,,Pan; tobacco; and intoxicants,105.1,105.2,105.1,F
2016,April,ALL India,,,Pan; tobacco; and intoxicants,135.5,141.5,137.1,F
2016,May,ALL India,,,Pan; tobacco; and intoxicants,136.0,142.2,137.7,F
2016,June,ALL India,,,Pan; tobacco; and intoxicants,137.2,142.7,138.7,F
2016,July,ALL India,,,Pan; tobacco; and intoxicants,138.0,142.9,139.3,F
2016,August,ALL India,,,Pan; tobacco; and intoxicants,138.9,143.6,140.2,F
2016,September,ALL India,,,Pan; tobacco; and intoxicants,139.9,143.9,141.0,F
2016,October,ALL India,,,Pan; tobacco; and intoxicants,140.9,144.3,141.8,F
2016,November,ALL India,,,Pan; tobacco; and intoxicants,141.2,144.3,142.0,F
2016,December,ALL India,,,Pan; tobacco; and intoxicants,142.4,145.0,143.1,F
2017,January,ALL India,,,Pan; tobacco; and intoxicants,143.1,145.6,143.8,F
2017,February,ALL India,,,Pan; tobacco; and intoxicants,143.7,146.3,144.4,F
2017,March,ALL India,,,Pan; tobacco; and intoxicants,144.2,147.5,145.1,F
2017,April,ALL India,,,Pan; tobacco; and intoxicants,144.4,148.0,145.4,F
2017,May,ALL India,,,Pan; tobacco; and intoxicants,145.5,148.3,146.2,F
2017,June,ALL India,,,Pan; tobacco; and intoxicants,145.8,148.6,146.5,F
2017,July,ALL India,,,Pan; tobacco; and intoxicants,147.4,150.5,148.2,F
2017,August,ALL India,,,Pan; tobacco; and intoxicants,149.0,152.1,149.8,F
2017,September,ALL India,,,Pan; tobacco; and intoxicants,149.8,153.6,150.8,F
2017,October,ALL India,,,Pan; tobacco; and intoxicants,150.5,154.6,151.6,F
2017,November,ALL India,,,Pan; tobacco; and intoxicants,152.1,156.2,153.2,F
2017,December,ALL India,,,Pan; tobacco; and intoxicants,153.2,157.0,154.2,F
2018,January,ALL India,,,Pan; tobacco; and intoxicants,153.6,157.7,154.7,F
2018,February,ALL India,,,Pan; tobacco; and intoxicants,153.3,159.3,154.9,F
2018,March,ALL India,,,Pan; tobacco; and intoxicants,155.1,159.7,156.3,F
2018,April,ALL India,,,Pan; tobacco; and intoxicants,156.1,159.2,156.9,F
2018,May,ALL India,,,Pan; tobacco; and intoxicants,157.0,160.3,157.9,F
2018,June,ALL India,,,Pan; tobacco; and intoxicants,157.3,161.0,158.3,F
2018,July,ALL India,,,Pan; tobacco; and intoxicants,156.1,161.4,157.5,F
2018,August,ALL India,,,Pan; tobacco; and intoxicants,156.4,162.1,157.9,F
2018,September,ALL India,,,Pan; tobacco; and intoxicants,157.7,163.3,159.2,F
2018,October,ALL India,,,Pan; tobacco; and intoxicants,159.6,164.0,160.8,F
2018,November,ALL India,,,Pan; tobacco; and intoxicants,161.9,164.4,162.6,F
2018,December,ALL India,,,Pan; tobacco; and intoxicants,162.4,164.6,163.0,F
2019,January,ALL India,,,Pan; tobacco; and intoxicants,162.7,164.7,163.2,F
2019,February,ALL India,,,Pan; tobacco; and intoxicants,162.8,164.9,163.4,F
2019,March,ALL India,,,Pan; tobacco; and intoxicants,162.9,165.3,163.5,F
2019,April,ALL India,,,Pan; tobacco; and intoxicants,162.9,165.7,163.6,F
2019,May,ALL India,,,Pan; tobacco; and intoxicants,163.3,166.2,164.1,F
2019,June,ALL India,,,Pan; tobacco; and intoxicants,164.2,166.7,164.9,F
2019,July,ALL India,,,Pan; tobacco; and intoxicants,164.5,167.2,165.2,F
2019,August,ALL India,,,Pan; tobacco; and intoxicants,165.1,167.9,165.8,F
2019,September,ALL India,,,Pan; tobacco; and intoxicants,165.7,168.6,166.5,F
2019,October,ALL India,,,Pan; tobacco; and intoxicants,166.3,169.3,167.1,F
2019,November,ALL India,,,Pan; tobacco; and intoxicants,167.2,169.9,167.9,F
2019,December,ALL India,,,Pan; tobacco; and intoxicants,167.8,170.4,168.5,F
2020,January,ALL India,,,Pan; tobacco; and intoxicants,168.6,170.8,169.2,F
2020,February,ALL India,,,Pan; tobacco; and intoxicants,169.4,172.0,170.1,F
2020,March,ALL India,,,Pan; tobacco; and intoxicants,170.5,173.3,171.2,F
2020,April,ALL India,,,Pan; tobacco; and intoxicants,171.1,179.1,173.2,F*
2020,May,ALL India,,,Pan; tobacco; and intoxicants,171.2,183.4,174.4,F+
2020,June,ALL India,,,Pan; tobacco; and intoxicants,182.4,186.7,183.5,F
2020,July,ALL India,,,Pan; tobacco; and intoxicants,180.9,187.2,182.6,F
2020,August,ALL India,,,Pan; tobacco; and intoxicants,182.9,188.7,184.4,F
2020,September,ALL India,,,Pan; tobacco; and intoxicants,182.7,188.7,184.3,F
2020,October,ALL India,,,Pan; tobacco; and intoxicants,183.4,188.8,184.8,F
2020,November,ALL India,,,Pan; tobacco; and intoxicants,183.6,190.2,185.4,F
2020,December,ALL India,,,Pan; tobacco; and intoxicants,184.6,191.8,186.5,F
2021,January,ALL India,,,Pan; tobacco; and intoxicants,185.8,192.7,187.6,F
2021,February,ALL India,,,Pan; tobacco; and intoxicants,186.5,193.3,188.3,F
2021,March,ALL India,,,Pan; tobacco; and intoxicants,186.1,193.5,188.1,F
2021,April,ALL India,,,Pan; tobacco; and intoxicants,186.8,194.4,188.8,F
2021,May,ALL India,,,Pan; tobacco; and intoxicants,189.6,198.2,191.9,F
2021,June,ALL India,,,Pan; tobacco; and intoxicants,189.1,195.6,190.8,F
2021,July,ALL India,,,Pan; tobacco; and intoxicants,189.7,195.5,191.2,F
2021,August,ALL India,,,Pan; tobacco; and intoxicants,190.2,196.1,191.8,F
2021,September,ALL India,,,Pan; tobacco; and intoxicants,190.5,196.5,192.1,F
2021,October,ALL India,,,Pan; tobacco; and intoxicants,191.2,197.0,192.7,F
2021,November,ALL India,,,Pan; tobacco; and intoxicants,191.4,197.0,192.9,F
2021,December,ALL India,,,Pan; tobacco; and intoxicants,190.8,196.8,192.4,F
2022,January,ALL India,,,Pan; tobacco; and intoxicants,190.7,196.4,192.2,F
2022,February,ALL India,,,Pan; tobacco; and intoxicants,191.5,196.5,192.8,F
2022,March,ALL India,,,Pan; tobacco; and intoxicants,192.3,197.5,193.7,F
2022,April,ALL India,,,Pan; tobacco; and intoxicants,192.8,197.1,193.9,F
2022,May,ALL India,,,Pan; tobacco; and intoxicants,192.9,197.5,194.1,F
2022,June,ALL India,,,Pan; tobacco; and intoxicants,192.9,198.3,194.3,F
2022,July,ALL India,,,Pan; tobacco; and intoxicants,193.2,198.6,194.6,F
2022,August,ALL India,,,Pan; tobacco; and intoxicants,193.7,198.7,195.0,F
2022,September,ALL India,,,Pan; tobacco; and intoxicants,194.5,199.7,195.9,F
2022,October,ALL India,,,Pan; tobacco; and intoxicants,194.9,200.1,196.3,F
2022,November,ALL India,,,Pan; tobacco; and intoxicants,195.5,200.6,196.9,F
2022,December,ALL India,,,Pan; tobacco; and intoxicants,195.9,201.1,197.3,F
2023,January,ALL India,,,Pan; tobacco; and intoxicants,196.9,201.6,198.2,F
2023,February,ALL India,,,Pan; tobacco; and intoxicants,197.8,202.2,199.0,F
2023,March,ALL India,,,Pan; tobacco; and intoxicants,198.4,202.7,199.5,F
2023,April,ALL India,,,Pan; tobacco; and intoxicants,199.5,203.5,200.6,F
2023,May,ALL India,,,Pan; tobacco; and intoxicants,199.9,204.2,201.0,F
2023,June,ALL India,,,Pan; tobacco; and intoxicants,200.4,204.6,201.5,F
2023,July,ALL India,,,Pan; tobacco; and intoxicants,201.0,205.2,202.1,F
2023,August,ALL India,,,Pan; tobacco; and intoxicants,201.7,206.7,203.0,F
2023,September,ALL India,,,Pan; tobacco; and intoxicants,202.2,207.2,203.5,F
2023,October,ALL India,,,Pan; tobacco; and intoxicants,202.5,207.8,203.9,F
2023,November,ALL India,,,Pan; tobacco; and intoxicants,202.9,208.5,204.4,F
2023,December,ALL India,,,Pan; tobacco; and intoxicants,203.1,208.4,204.5,F
2024,January,ALL India,,,Pan; tobacco; and intoxicants,203.2,208.9,204.7,F
2024,February,ALL India,,,Pan; tobacco; and intoxicants,203.7,209.5,205.2,F
2024,March,ALL India,,,Pan; tobacco; and intoxicants,204.0,210.2,205.7,F
2024,April,ALL India,,,Pan; tobacco; and intoxicants,204.9,211.2,206.6,F
2024,May,ALL India,,,Pan; tobacco; and intoxicants,205.5,211.5,207.1,F
2024,June,ALL India,,,Pan; tobacco; and intoxicants,206.1,212.1,207.7,F
2024,July,ALL India,,,Pan; tobacco; and intoxicants,206.5,212.9,208.2,F
2024,August,ALL India,,,Pan; tobacco; and intoxicants,206.8,213.1,208.5,F
2024,September,ALL India,,,Pan; tobacco; and intoxicants,206.9,213.3,208.6,F
2024,October,ALL India,,,Pan; tobacco; and intoxicants,207.4,213.5,209.0,F
2024,November,ALL India,,,Pan; tobacco; and intoxicants,208.1,212.1,209.2,F
2024,December,ALL India,,,Pan; tobacco; and intoxicants,208.7,212.2,209.6,F
2025,January,ALL India,,,Pan; tobacco; and intoxicants,208.3,212.6,209.4,F
2025,February,ALL India,,,Pan; tobacco; and intoxicants,209.0,213.2,210.1,P
